"Order ID","Order Date","CustomerName","State","City","Amount","Profit","Quantity","Category","Sub-Category","PaymentMode"
"B-26055",2018-03-10,"Harivansh","Uttar Pradesh","Mathura",NA,NA,NA,NA,NA,NA
"B-25993",2018-02-03,"Madhav","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25973",2018-01-24,"Madan Mohan","Uttar Pradesh","Mathura",NA,NA,NA,NA,NA,NA
"B-25923",2018-12-27,"Gopal","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25757",2018-08-21,"Vishakha","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25967",2018-01-21,"Sudevi","Uttar Pradesh","Prayagraj",NA,NA,NA,NA,NA,NA
"B-25955",2018-01-16,"Shiva","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-26093",2018-03-27,"Sarita","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25798",2018-10-01,"Shishu","Andhra Pradesh","Hyderabad",NA,NA,NA,NA,NA,NA
"B-25602",2018-04-01,"Vrinda","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25858",2018-11-13,"Uudhav","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25969",2018-01-21,"Shreyshi","Gujarat","Surat",NA,NA,NA,NA,NA,NA
"B-26099",2018-03-30,"Bhishm","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25997",2018-02-04,"Yogesh","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25881",2018-11-25,"Lalita","Uttar Pradesh","Mathura",NA,NA,NA,NA,NA,NA
"B-25761",2018-08-25,"Madhav","Uttar Pradesh","Mathura",NA,NA,NA,NA,NA,NA
"B-25887",2018-12-01,"Vishakha","Uttar Pradesh","Prayagraj",NA,NA,NA,NA,NA,NA
"B-25823",2018-10-18,"Rohan","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25853",2018-11-08,"Gaurav","Gujarat","Ahmedabad",NA,NA,NA,NA,NA,NA
"B-25862",2018-11-15,"Amol","Bihar","Patna",NA,NA,NA,NA,NA,NA
"B-25830",2018-10-26,"Aastha","Himachal Pradesh","Simla",NA,NA,NA,NA,NA,NA
"B-25786",2018-09-19,"Madan Mohan","Uttar Pradesh","Mathura",NA,NA,NA,NA,NA,NA
"B-25686",2018-06-11,"Pooja","Himachal Pradesh","Simla",NA,NA,NA,NA,NA,NA
"B-26022",2018-02-18,"Shrichand","Punjab","Chandigarh",NA,NA,NA,NA,NA,NA
"B-26003",2018-02-08,"Hitesh","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25755",2018-08-19,"Shourya","Kerala","Thiruvananthapuram",NA,NA,NA,NA,NA,NA
"B-25902",2018-12-10,"Ishpreet","Maharashtra","Mumbai",NA,NA,NA,NA,NA,NA
"B-25935",2018-01-04,"Sudhir","Nagaland","Kohima",NA,NA,NA,NA,NA,NA
"B-25797",2018-09-30,"Sauptik","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25639",2018-04-27,"Lisha","Madhya Pradesh","Bhopal",NA,NA,NA,NA,NA,NA
"B-25681",2018-06-04,"Bhawna","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
"B-25909",2018-12-13,"Sujay","Maharashtra","Pune",NA,NA,NA,NA,NA,NA
"B-25910",2018-12-14,"Jay","Delhi","Delhi",NA,NA,NA,NA,NA,NA
"B-25950",2018-01-13,"Shruti","Madhya Pradesh","Indore",NA,NA,NA,NA,NA,NA
